file,z_SDSS,z_measured,delta_z
spectrum_10.fits,0.010011519,0.010208208934258216,0.00019668962885021485
spectrum_100.fits,0.010245152,0.010673589445434848,0.0004284376276362332
spectrum_11.fits,0.010012746,0.010208208934258216,0.00019546307701944626
spectrum_12.fits,0.010012832,0.013469964587333122,0.003457133048417488
spectrum_13.fits,0.010014678,0.010208208934258216,0.00019353058267711915
spectrum_14.fits,0.010016446,0.010208208934258216,0.00019176293243049897
spectrum_15.fits,0.010017677,0.010208208934258216,0.0001905317239868573
spectrum_16.fits,0.010018366,0.010208208934258216,0.00018984254528164185
spectrum_17.fits,0.010020492,0.010208208934258216,0.00018771726716636933
spectrum_18.fits,0.010022112,0.010208208934258216,0.0001860967658865384
spectrum_19.fits,0.010022211,0.010440638785084083,0.0004184278965194965
spectrum_2.fits,0.010000313,0.010208208934258216,0.0002078962333905629
spectrum_20.fits,0.010024401,0.00997533267526815,-4.906868399193187e-05
spectrum_21.fits,0.010025358,0.010208208934258216,0.00018285110671400345
spectrum_22.fits,0.010026084,0.010440638785084083,0.00041455452593167075
spectrum_23.fits,0.010027081,0.010208208934258216,0.00018112815995096482
spectrum_24.fits,0.010031311,0.010208208934258216,0.00017689809281706131
spectrum_25.fits,0.010033084,0.010208208934258216,0.00017512485463499344
spectrum_26.fits,0.010034291,0.010208208934258216,0.00017391786057829178
spectrum_27.fits,0.010041282,0.010440638785084083,0.00039935720415909537
spectrum_28.fits,0.010042007,0.010440638785084083,0.0003986317038734699
spectrum_29.fits,0.01004364,0.010440638785084083,0.000396999095400169
spectrum_3.fits,0.010000561,0.010208208934258216,0.00020764757026314057
spectrum_30.fits,0.010045351,0.010440638785084083,0.00039528732450802573
spectrum_31.fits,0.010046201,0.010208208934258216,0.00016200810749410904
spectrum_32.fits,0.010056317,0.010440638785084083,0.0003843219325145031
spectrum_33.fits,0.0100472905,0.010208208934258216,0.00016091846008180893
spectrum_34.fits,0.0100477785,0.010440638785084083,0.0003928602978785778
spectrum_35.fits,0.010048265,0.010440638785084083,0.0003923741474946285
spectrum_36.fits,0.0100482805,0.010208208934258216,0.00015992846418499268
spectrum_37.fits,0.010048441,0.010208208934258216,0.00015976827670215882
spectrum_38.fits,0.010048723,0.010440638785084083,0.0003919159367879177
spectrum_39.fits,0.010050614,0.010440638785084083,0.00039002442063887366
spectrum_4.fits,0.009944479,0.010208208934258216,0.00026372995306133545
spectrum_41.fits,0.010052132,0.010208208934258216,0.00015607651401638306
spectrum_42.fits,0.01005848,0.010440638785084083,0.00038215847017367133
spectrum_43.fits,0.010086028,0.010208208934258216,0.00012218102891325272
spectrum_44.fits,0.010065602,0.010440638785084083,0.00037503664644558676
spectrum_45.fits,0.010065945,0.006493274593161427,-0.0035726702721845275
spectrum_46.fits,0.010067575,0.010440638785084083,0.0003730641052325512
spectrum_47.fits,0.010069213,0.010440638785084083,0.00037142590882380255
spectrum_49.fits,0.010069554,0.010440638785084083,0.0003710850447614933
spectrum_5.fits,0.010005968,0.010208208934258216,0.00020224124271749772
spectrum_50.fits,0.010071943,0.010440638785084083,0.0003686962023576046
spectrum_51.fits,0.010078469,0.010440638785084083,0.0003621694937546993
spectrum_52.fits,0.0100794425,0.010440638785084083,0.00036119626166422614
spectrum_54.fits,0.010084021,0.010440638785084083,0.00035661787988741644
spectrum_55.fits,0.010086194,0.010208208934258216,0.00012201525349497117
spectrum_56.fits,0.010086698,0.010673589445434848,0.0005868909878361615
spectrum_57.fits,0.010088581,0.010440638785084083,0.00035205812456209906
spectrum_58.fits,0.0100899385,0.010440638785084083,0.0003507002562483097
spectrum_6.fits,0.010006177,0.010208208934258216,0.00020203169513820923
spectrum_60.fits,0.010094975,0.010440638785084083,0.0003456636637647892
spectrum_61.fits,0.010099412,0.010440638785084083,0.00034122684301932105
spectrum_62.fits,0.01009961,0.010440638785084083,0.00034102847131092795
spectrum_63.fits,0.010100261,0.010208208934258216,0.00010794762600540436
spectrum_64.fits,0.010100654,0.010440638785084083,0.000339984458704784
spectrum_65.fits,0.010100736,0.010440638785084083,0.00033990250231821784
spectrum_66.fits,0.01008072,0.010208208934258216,0.00012748863626598633
spectrum_67.fits,0.010106437,0.010440638785084083,0.0003342018768389965
spectrum_68.fits,0.01010736,0.010208208934258216,0.00010084908534168519
spectrum_69.fits,0.01010843,0.010440638785084083,0.00033220884652931937
spectrum_7.fits,0.010006329,0.010208208934258216,0.0002018798895585469
spectrum_70.fits,0.010109445,0.010440638785084083,0.0003311937049229885
spectrum_71.fits,0.010110062,0.010440638785084083,0.00033057716937859305
spectrum_72.fits,0.010113757,0.010440638785084083,0.00032688168140251883
spectrum_74.fits,0.010098475,0.010440638785084083,0.0003421637535293842
spectrum_75.fits,0.010117349,0.010440638785084083,0.00032328957023222693
spectrum_76.fits,0.010121591,0.010440638785084083,0.0003190473959048534
spectrum_78.fits,0.010124035,0.010440638785084083,0.0003166036054690624
spectrum_79.fits,0.010124655,0.010440638785084083,0.0003159833446343685
spectrum_8.fits,0.010007663,0.010208208934258216,0.00020054623563169754
spectrum_80.fits,0.010125365,0.010208208934258216,8.284382600664414e-05
spectrum_81.fits,0.010126488,0.010440638785084083,0.00031415050180752524
spectrum_82.fits,0.010127797,0.010440638785084083,0.0003128419935901905
spectrum_83.fits,0.010127806,0.010440638785084083,0.00031283268036444434
spectrum_84.fits,0.010129433,0.010440638785084083,0.0003112056598265911
spectrum_85.fits,0.010112511,0.010440638785084083,0.00032812779100735434
spectrum_86.fits,0.010133936,0.006956943873041966,-0.0031769921968637918
spectrum_87.fits,0.010134335,0.010440638785084083,0.00030630410911638983
spectrum_88.fits,0.010134766,0.010440638785084083,0.00030587290676434287
spectrum_89.fits,0.010123821,0.013703138451765986,0.0035793174763431267
spectrum_9.fits,0.010007736,0.010208208934258216,0.00020047266114830292
spectrum_92.fits,0.01013759,0.010440638785084083,0.00030304913671810874
spectrum_93.fits,0.010137606,0.010440638785084083,0.00030303237291176566
spectrum_94.fits,0.01013905,0.010208208934258216,6.91589720952443e-05
spectrum_95.fits,0.010139111,0.010440638785084083,0.00030152735563118704
spectrum_96.fits,0.010140014,0.010440638785084083,0.00030062490405638465
spectrum_97.fits,0.010140172,0.010440638785084083,0.0003004665792187
spectrum_98.fits,0.010142371,0.010440638785084083,0.00029826772662003287
